url,title,price,location,rooms,area,floor,district,address,currency,city,max_floor
https://krisha.kz/a/show/1007719842?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=17,2-комнатная квартира · 58 м² · 9/12 этаж,450000,"Бостандыкский р-н, Розыбакиева 156 — Сатпаева",,58.0,9.0,Бостандыкский р-н,Розыбакиева 156 — Сатпаева,KZT,Алматы,12.0
https://krisha.kz/a/show/1007476400?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=18,2-комнатная квартира · 58 м² · 10/12 этаж,360000,"Бостандыкский р-н, Торайгырова — Мустафина",,58.0,10.0,Бостандыкский р-н,Торайгырова — Мустафина,KZT,Алматы,12.0
https://krisha.kz/a/show/1007629772?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=19,2-комнатная квартира · 79 м² · 4/8 этаж,500000,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас 157",,79.0,4.0,Бостандыкский р-н,"мкр Мирас, Мкр. Мирас 157",KZT,Алматы,8.0
https://krisha.kz/a/show/1007589280?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=20,3-комнатная квартира · 52 м² · 7/13 этаж,380000,"Ауэзовский р-н, мкр Тастак-1, Райымбека 348/1 к1",,52.0,7.0,Ауэзовский р-н,"мкр Тастак-1, Райымбека 348/1 к1",KZT,Алматы,13.0
https://krisha.kz/a/show/1007510939?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=21,2-комнатная квартира · 75 м² · 5/12 этаж,360000,"Бостандыкский р-н, Егизбаева — Каныша Сатпаева",,75.0,5.0,Бостандыкский р-н,Егизбаева — Каныша Сатпаева,KZT,Алматы,12.0
https://krisha.kz/a/show/1007614840?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=22,2-комнатная квартира · 55 м² · 3/12 этаж,350000,"Бостандыкский р-н, Розыбакиева — Сатпаева",,55.0,3.0,Бостандыкский р-н,Розыбакиева — Сатпаева,KZT,Алматы,12.0
https://krisha.kz/a/show/1007510295?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=23,2-комнатная квартира · 75 м² · 5/10 этаж,450000,"Бостандыкский р-н, Бухар Жырау",,75.0,5.0,Бостандыкский р-н,Бухар Жырау,KZT,Алматы,10.0
https://krisha.kz/a/show/1007641695?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=24,2-комнатная квартира · 55 м² · 3/12 этаж,350000,"Бостандыкский р-н, Абая",,55.0,3.0,Бостандыкский р-н,Абая,KZT,Алматы,12.0
https://krisha.kz/a/show/1007621283?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=25,2-комнатная квартира · 75 м² · 3/12 этаж,350000,"Бостандыкский р-н, Басенова",,75.0,3.0,Бостандыкский р-н,Басенова,KZT,Алматы,12.0
https://krisha.kz/a/show/1007678089?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=26,2-комнатная квартира · 75 м² · 5/12 этаж,380000,"Бостандыкский р-н, Розыбакиева",,75.0,5.0,Бостандыкский р-н,Розыбакиева,KZT,Алматы,12.0
https://krisha.kz/a/show/1007587817?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=27,3-комнатная квартира · 93 м² · 10/10 этаж,400000,"Наурызбайский р-н, мкр Каргалы 23 — Кенесары хана",,93.0,10.0,Наурызбайский р-н,мкр Каргалы 23 — Кенесары хана,KZT,Алматы,10.0
https://krisha.kz/a/show/1007661883?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=28,3-комнатная квартира · 165 м² · 16/22 этаж,1300000,"Медеуский р-н, проспект Достык — Жолдасбекова",,165.0,16.0,Медеуский р-н,проспект Достык — Жолдасбекова,KZT,Алматы,22.0
https://krisha.kz/a/show/1006284914?srchid=019ae96f-4179-75ad-8059-adf53fc590d7&srchtype=filter&srchpos=29,2-комнатная квартира · 55 м² · 8/14 этаж,500000,"Медеуский р-н, мкр Самал-2 69 — Назарбаева",,55.0,8.0,Медеуский р-н,мкр Самал-2 69 — Назарбаева,KZT,Алматы,14.0
